file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
A_floribunda_Ferguson2024_R1	FASTQ	DNA	68699621	10149874671	15	147.7	151	150	151	151	0	151	1	97	91	25.03	41.93	540230
A_floribunda_Ferguson2024_R2	FASTQ	DNA	68699621	10144688671	15	147.7	151	150	151	151	0	151	1	96	89	24.18	41.94	114896
C_calophylla_Ferguson2024_R1	FASTQ	DNA	67753071	9979925279	15	147.3	151	150	151	151	0	151	1	97	92	25.69	41.36	543260
C_calophylla_Ferguson2024_R2	FASTQ	DNA	67753071	9972105958	15	147.2	151	150	151	151	0	151	1	96	89	24.09	41.41	125904
C_maculata_Ferguson2024_R1	FASTQ	DNA	57956020	8496549770	15	146.6	151	150	151	151	0	151	1	97	92	25.87	40.76	460957
C_maculata_Ferguson2024_R2	FASTQ	DNA	57956020	8490483351	15	146.5	151	150	151	151	0	151	1	96	89	24.33	40.79	105667
E_albens_Ferguson2024_R1	FASTQ	DNA	57105300	8397850318	15	147.1	151	150	151	151	0	151	1	97	91	25.29	40.64	446845
E_albens_Ferguson2024_R2	FASTQ	DNA	57105300	8392564751	15	147	151	150	151	151	0	151	1	96	89	24.26	40.68	102545
E_ANBG9806169_Ferguson2024_R1	FASTQ	DNA	61121238	8929628484	15	146.1	151	150	151	151	0	151	1	96	91	24.94	40.29	467494
E_ANBG9806169_Ferguson2024_R2	FASTQ	DNA	61121238	8928631311	15	146.1	151	150	151	151	0	151	1	96	90	24.7	40.3	100313
E_brandiana_Ferguson2024_R1	FASTQ	DNA	62962027	9210681090	15	146.3	151	149	150	151	0	150	2	95	88	23.84	41.28	435637
E_brandiana_Ferguson2024_R2	FASTQ	DNA	62962027	9215410753	15	146.4	151	150	151	151	0	151	1	97	91	25.14	41.22	98181
E_caleyi_Ferguson2024_R1	FASTQ	DNA	113618248	16770071334	15	147.6	151	150	151	151	0	151	1	95	89	23.87	45.16	6885
E_caleyi_Ferguson2024_R2	FASTQ	DNA	113618248	16774362160	15	147.6	151	150	151	151	0	151	1	96	91	25.04	45.58	2110
E_camaldulensis_Ferguson2024_R1	FASTQ	DNA	55788125	8222071404	15	147.4	151	150	151	151	0	151	1	96	90	24.44	40.47	417049
E_camaldulensis_Ferguson2024_R2	FASTQ	DNA	55788125	8222170652	15	147.4	151	150	151	151	0	151	1	96	90	24.64	40.49	92035
E_cladocalyx_Ferguson2024_R1	FASTQ	DNA	69494572	10216859683	15	147	151	150	151	151	0	151	1	96	90	24.79	41.08	545118
