initial_label	genus	subgenus	section	is_included	is_label_swapped	final_label	notes
A_floribunda	Angophora	Angophora	Angophora	TRUE	FALSE	A_floribunda	
A_floribunda_Ferguson2024	Angophora	Angophora	Angophora	TRUE	FALSE	A_floribunda_Ferguson2024	
A_leiocarpa_1	Angophora	Angophora	Angophora	TRUE	FALSE	A_leiocarpa_1	
A_leiocarpa_2	Angophora	Angophora	Angophora	TRUE	FALSE	A_leiocarpa_2	
C_aparrerinja	Corymbia	Blakella	Abbreviatae	TRUE	FALSE	C_aparrerinja	
C_arnhemensis	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_arnhemensis	
C_calophylla_1	Corymbia	Corymbia	Calophyllae	FALSE	TRUE	E_brachycalyx_2	Different genus
C_calophylla_2	Corymbia	Corymbia	Calophyllae	TRUE	FALSE	C_calophylla_2	
C_calophylla_3	Corymbia	Corymbia	Calophyllae	TRUE	FALSE	C_calophylla_3	
C_calophylla_Ferguson2024	Corymbia	Corymbia	Calophyllae	TRUE	FALSE	C_calophylla_Ferguson2024	
C_candida	Corymbia	Blakella	Abbreviatae	TRUE	FALSE	C_candida	
C_chippendalei	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_chippendalei	
C_chlorolampra	Corymbia	Corymbia	Calophyllae	TRUE	FALSE	C_chlorolampra	
C_citriodora_1	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_citriodora_1	
C_citriodora_2	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_citriodora_2	
C_cliftoniana	Corymbia	Corymbia	Corymbia	FALSE	FALSE	C_cliftoniana	Estimated mean coverage <10x
C_deserticola_deserticola_1	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_deserticola_deserticola_1	
C_deserticola_deserticola_2	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_deserticola_deserticola_2	
C_eremaea_oligiocarpa	Corymbia	Corymbia	Corymbia	TRUE	TRUE	C_eremaea_oligocarpa_1	Set the label clearer
C_eremaea_oligocarpa	Corymbia	Corymbia	Corymbia	FALSE	TRUE	E_punctata_1	Different genus
C_ficifolia	Corymbia	Corymbia	Calophyllae	TRUE	FALSE	C_ficifolia	
C_haematoxylon	Corymbia	Corymbia	Calophyllae	FALSE	TRUE	E_discreta	Different genus
C_henryi_2	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_henryi_2	
C_henryi_3	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_henryi_3	
C_henryi_4	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_henryi_4	
C_leichhardii_1	Corymbia	Blakella	Naviculares	TRUE	FALSE	C_leichhardii_1	
C_leichhardii_2	Corymbia	Blakella	Naviculares	TRUE	FALSE	C_leichhardii_2	
C_lenziana	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_lenziana	
C_leptoloma	Corymbia	Blakella	Naviculares	FALSE	FALSE	C_leptoloma	Different subgenus
C_maculata	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_maculata	
C_maculata_Ferguson2024	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_maculata_Ferguson2024	
C_papillosa	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_papillosa	
C_petalophylla	Corymbia	Blakella	Naviculares	TRUE	FALSE	C_petalophylla	
C_polycarpa_1	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_polycarpa_1	
C_polycarpa_2	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_polycarpa_2	
C_ptychocarpa_ptychocarpa	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_ptychocarpa_ptychocarpa	
C_rhodops	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_rhodops	
C_scabrida	Corymbia	Blakella	Naviculares	TRUE	FALSE	C_scabrida	
C_setosa_pedicellaris_x_C_brachycarpa	Corymbia-H	Corymbia-H	Corymbia-H	FALSE	FALSE	C_setosa_pedicellaris_x_C_brachycarpa	Hybrid
C_setosa_setosa	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_setosa_setosa	
C_sphaerica	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_sphaerica	
C_terminalis	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_terminalis	
C_tessellaris_1	Corymbia	Blakella	Abbreviatae	TRUE	FALSE	C_tessellaris_1	
C_tessellaris_2	Corymbia	Blakella	Abbreviatae	TRUE	FALSE	C_tessellaris_2	
C_tessellaris_3	Corymbia	Blakella	Abbreviatae	TRUE	FALSE	C_tessellaris_3	
C_trachyphloia_amphistomatica	Corymbia	Corymbia	Corymbia	FALSE	FALSE	C_trachyphloia_amphistomatica	Did not group together with other samples
C_trachyphloia_trachyphloia_1	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_trachyphloia_trachyphloia_1	
C_trachyphloia_trachyphloia_2	Corymbia	Corymbia	Corymbia	TRUE	FALSE	C_trachyphloia_trachyphloia_2	
C_variegata	Corymbia	Blakella	Maculatae	TRUE	FALSE	C_variegata	
E_absita	Eucalyptus	Symphyomyrtus	Adnataria	FALSE	FALSE	E_absita	Different section
E_acies	Eucalyptus	Eucalyptus	'Frutices' ms	FALSE	FALSE	E_acies	Located at the basal position of E. subg. Eucalyptus and subg. Idiogenes
E_adesmophloia	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_adesmophloia	
E_aenea	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_aenea	
E_aequioperta	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_aequioperta	
E_aequioperta_x_E_sheathiana	Eucalyptus-H	Symphyomyrtus-H	Dumaria-H	FALSE	FALSE	E_aequioperta_x_E_sheathiana	Hybrid
E_agglomerata	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_agglomerata	
E_aggregata	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_aggregata	
E_alaticaulis	Eucalyptus	Symphyomyrtus	Maidenaria	FALSE	FALSE	E_alaticaulis	Different section
E_alatissima_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_alatissima_1	
E_alatissima_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_alatissima_2	
E_albens_1	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_albens_1	
E_albens_2	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_albens_2	
E_albens_Ferguson2024	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_albens_Ferguson2024	
E_albopurpurea_1	Eucalyptus	Symphyomyrtus	Adnataria	FALSE	FALSE	E_albopurpurea_1	Estimated mean coverage <10x 
E_albopurpurea_2	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_albopurpurea_2	
E_albopurpurea_3	Eucalyptus	Symphyomyrtus	Adnataria	FALSE	FALSE	E_albopurpurea_3	Different section
E_albopurpurea_4	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_albopurpurea_4	
