project_name	principal_investigator	scientific_program	product_name	status	status_date	user_program	proposal	jgi_project_id	taxonomy_id	sequencing_project_id	analysis_project_id	project_manager	portal_id	field_id	folder_name	row_tree	current_name	voucher	provenance	rownum	year_planted	treenum	dnnumber	field_comments	date	field_determination	location	description	latitude	longitude	genus	subgenus	section	series	subseries	species	subspecies	tip_label
Angophora floribunda CCA2813 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-29	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456334	34308	1457237	1456335	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Angflosequencing_FD"",""Angflosequencing_FD"")	CCA2813	Angflosequencing_FD	R131/T11	Angophora floribunda	-	Unknown	131	1997	11									Angophora			Angophora	'Floribundinae' ms	floribunda		A_floribunda
Angophora leiocarpa CCA1427 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456114	183800	1457127	1456115	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Angleisequencing_3_FD"",""Angleisequencing_3_FD"")	CCA1427	Angleisequencing_3_FD	R084/T05	Angophora leiocarpa	DN 2103	Karara, Qld	84	1998	5	2103		1997-12-14	Angophora leiocarpa	Karara to Millmerran road, west of Warwick, Queensland.	Tree 10 metres tall. Bark smooth, grey and pink over orange. Leaves discolorous, glossy and light green above.  Growing with Eucalyptus microcarpa and E. melliodora. AD, CANB Photo	-28.1525	151.555555555556	Angophora			'Costatitae' ms		leiocarpa		A_leiocarpa_1
Angophora leiocarpa CCA1430 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456116	183800	1457128	1456117	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Angleisequencing_4_FD"",""Angleisequencing_4_FD"")	CCA1430	Angleisequencing_4_FD	R084/T08	Angophora leiocarpa	DN 2103	Karara, Qld	84	1998	8	2103		1997-12-14	Angophora leiocarpa	Karara to Millmerran road, west of Warwick, Queensland.	Tree 10 metres tall. Bark smooth, grey and pink over orange. Leaves discolorous, glossy and light green above.  Growing with Eucalyptus microcarpa and E. melliodora. AD, CANB Photo	-28.1525	151.555555555556	Angophora			'Costatitae' ms		leiocarpa		A_leiocarpa_2
Corymbia aparrerinja CCA2832 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-04-29	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456346	183802	1457243	1456347	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corapasequencing_FD"",""Corapasequencing_FD"")	CCA2832	Corapasequencing_FD	R132/T08	Corymbia aparrerinja	-	Unknown	132	1997	8									Corymbia	Blakella	Abbreviatae	'Scutiformes' ms		aparrerinja		C_aparrerinja
Corymbia arnhemensis CCA5693 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-09	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1454964	1927106	1456552	1454965	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corarnsequencing_2_FD"",""Corarnsequencing_2_FD"")	CCA5693	Corarnsequencing_2_FD	R312/T30	Corymbia arnhemensis	DN 2484	Twin Falls, NT	312	2011	30	2484		1998-09-29	Corymbia arnhemensis	Top of escarpment on walking track to the top of Twin Falls, Kakadu National Park, Northern Territory.	Tree 6 metres tall. Bark rough to small branches, tessellated, grey over red-brown. Leaves slightly discolorous, dull, pale green. Growing between sandstone boulders with Corymbia kombolgiensis, C. oocarpa and Eucalyptus gigantangion. AD, CANB			Corymbia	Corymbia	Corymbia	'Dorsiventrales' ms		arnhemensis		C_arnhemensis
Corymbia calophylla CCA1291 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1456022	34324	1457081	1456023	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corcalsequencing_8_FD"",""Corcalsequencing_8_FD"")	CCA1291	Corcalsequencing_8_FD	R072/T28	Corymbia calophylla	DN 1160	Cockleshell Gully, WA	72	1995	28	1160		1994-11-26	Corymbia calophylla	Cockleshell Gully Rd at Cockleshell Gully, Western Australia.	Mallee 3 metres tall. Bark rough, tessellated, grey. Leaves glossy, dark green. Growing in a small clump in heathy vegetation. AD Photos	-30.1408333333333	115.115833333333	Corymbia	Corymbia	Calophyllae			calophylla		C_calophylla_1
Corymbia calophylla CCA5889 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455142	34324	1456641	1455143	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corcalsequencing_6_FD"",""Corcalsequencing_6_FD"")	CCA5889	Corcalsequencing_6_FD	R332/T11	Corymbia calophylla	DN 6707	Mt Talyuberlup, WA	332	2015	11	6707		2013-11-26	Corymbia calophylla	Mt Talyuberlup, quarter way up walking trail to summit, Stirling Range National Park, Western Australia.	Scraggy mallee 3 metres tall. Leaves discolorous, glossy and green above. Leaf oil glands very sparse.  Scattered plants in a thicket of Eucalyptus talyuberlup. AD, PERTH Seeds	-34.4219444444444	117.937777777778	Corymbia	Corymbia	Calophyllae			calophylla		C_calophylla_2
Corymbia calophylla CCA5890 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455140	34324	1456640	1455141	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corcalsequencing_7_FD"",""Corcalsequencing_7_FD"")	CCA5890	Corcalsequencing_7_FD	R332/T12	Corymbia calophylla	DN 6707	Mt Talyuberlup, WA	332	2015	12	6707		2013-11-26	Corymbia calophylla	Mt Talyuberlup, quarter way up walking trail to summit, Stirling Range National Park, Western Australia.	Scraggy mallee 3 metres tall. Leaves discolorous, glossy and green above. Leaf oil glands very sparse.  Scattered plants in a thicket of Eucalyptus talyuberlup. AD, PERTH Seeds	-34.4219444444444	117.937777777778	Corymbia	Corymbia	Calophyllae			calophylla		C_calophylla_3
Corymbia candida CCA6067 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-02-12	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455336	360297	1456738	1455337	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corcansequencing_2_FD"",""Corcansequencing_2_FD"")	CCA6067	Corcansequencing_2_FD	R346/T05	Corymbia candida	DN 7230	Barradale, WA	346	2017	5	7230		2016-09-10	Corymbia candida subsp. candida	North-east of Burkett Rd on North West Coastal Hwy, Western Australia.	Tree to 8 metres tall. Bark smooth throughout, mostly white. On orange sandplain with some Corymbia zygophylla and Triodia groundstorey. PERTH + seeds	-22.9436111111111	114.701944444444	Corymbia	Blakella	Abbreviatae	'Scutiformes' ms		candida		C_candida
Corymbia chippendalei CCA5826 Currency Creek Resequencing	Alexander Myburg zander.myburg@up.ac.za	Plant/large euk	Plant Resequencing, Isolate	Complete	2024-08-15	CSP 2022	Eucalypt genomic resources for woody biomass production and carbon drawdown	1455076	1711101	1456608	1455077	Kerrie Barry kwbarry@lbl.gov	=HYPERLINK(""http://genome.jgi.doe.gov/Corchisequencing_2_FD"",""Corchisequencing_2_FD"")	CCA5826	Corchisequencing_2_FD	R318/T07	Corymbia chippendalei	DN 4288	Little Sandy Desert, WA	318	2011	7	4288		2001-11-26	Corymbia chippendalei	Near Mt Methwin, Little Sandy Desert, Western Australia.	Tree 6 metres tall. Bark thinly rough, flaky-tessellated, light grey over cream. Leaves slightly glossy, green. Growing on red sand dune crest with some Eucalyptus rameliana. PERTH	-25.0794444444444	120.603611111111	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	chippendalei		C_chippendalei
