file	sum_len	cov
E_lockyeri_3	8700	0.0000174
E_articulata	145413636	0.290827272
E_eremicola_peeneri_2	295023616	0.590047232
E_talyuberlup	501880222	1.003760444
E_fruticosa_1	727636822	1.455273644
E_macta	891466120	1.78293224
E_fruticosa_2	947577708	1.895155416
E_rigidula_9	989454676	1.978909352
E_ammophila	1225136966	2.450273932
E_sp_Adelaide	1231830318	2.463660636
E_pterocarpa	1292848588	2.585697176
E_leucoxylon_pruinosa	1411596172	2.823192344
E_x_brachyphylla_2	1828379728	3.656759456
E_concinna	1972459020	3.94491804
E_vokesensis	1982851886	3.965703772
E_gypsophila_1	2068169546	4.136339092
E_albopurpurea_1	2271661208	4.543322416
E_jutsonii_jutsonii	2458109654	4.916219308
E_repullulans	2704626816	5.409253632
E_gypsophila_3	2758626026	5.517252052
E_microtheca	2785237970	5.57047594
E_sp_Mulga_Rock_2	2797646394	5.595292788
E_leucophylla_2	2888932406	5.777864812
E_scyphocalyx_1	2916378690	5.83275738
E_oleosa_ampliata_3	2925335374	5.850670748
E_forrestiana	2982773196	5.965546392
C_cliftoniana	3698663740	7.39732748
E_normantonensis	3767574888	7.535149776
E_leucophylla_3	4070584322	8.141168644
E_largiflorens_3	4579497146	9.158994292
E_sp_Dunbar_Road_1	4611234636	9.222469272
E_conglobata_conglobata_1	4939130098	9.878260196
E_calycogona_trachybasis	5464453040	10.92890608
E_x_brachyphylla_1	5470006158	10.940012316
E_gillii_1	5484304406	10.968608812
E_torquata	5509649014	11.019298028
E_alaticaulis	5716939772	11.433879544
E_scyphocalyx_2	5959548292	11.919096584
E_angulosa_1	6030676128	12.061352256
E_cneorifolia	6276262646	12.552525292
E_incrassata_2	6278669470	12.55733894
E_astringens_redacta_1	6609588782	13.219177564
E_capitanea	6770703314	13.541406628
E_propinqua	6938327324	13.876654648
E_reducta	7070007462	14.140014924
E_leucoxylon_megalocarpa_1	7070633482	14.141266964
E_largiflorens_2	7422780520	14.84556104
E_obesa_1	7476354180	14.95270836
E_calcareana_3	7541654806	15.083309612
E_calcareana_4	7542097260	15.08419452
E_woodwardii_2	7595565920	15.19113184
E_bridgesiana	7789894046	15.579788092
E_porosa	7793165796	15.586331592
E_conica_x_E_microcarpa	7924135716	15.848271432
E_discreta	8015490146	16.030980292
E_capillosa_2	8054273716	16.108547432
E_gittinsii_gittinsii	8260190844	16.520381688
E_incrassata_1	8297792512	16.595585024
E_sp	8302233736	16.604467472
E_densa_densa	8303702270	16.60740454
E_macrorhyncha_macrorhyncha	8550386592	17.100773184
E_conica	8563415176	17.126830352
E_suggrandis_suggrandis_2	8655914464	17.311828928
E_varia_3	8709560152	17.419120304
E_cullenii	8789549824	17.579099648
E_canaliculata	8813745476	17.627490952
E_sessilis	8834406976	17.668813952
E_sp_Great_Victoria_Desert_3	8864558702	17.729117404
E_yalatensis	8907739812	17.815479624
E_stricklandii	8957787304	17.915574608
E_dawsonii	8997877626	17.995755252
E_brachycalyx_2	9049714458	18.099428916
E_horistes_horistes_1	9151310344	18.302620688
E_platypus_platypus_2	9154918516	18.309837032
E_formanii_Broadxleaf_2	9240643144	18.481286288
E_panda	9258160058	18.516320116
E_odorata	9265383694	18.530767388
E_melanophloia_nana	9272336532	18.544673064
E_formanii_formanii_1	9303266010	18.60653202
E_largiflorens_1	9362896392	18.725792784
E_brassiana	9453057474	18.906114948
E_caesia_Southern_rocks	9482364962	18.964729924
E_froggattii	9506594946	19.013189892
E_eremicola_eremicola	9535809402	19.071618804
E_latens_2	9611218396	19.222436792
C_lenziana	9613126648	19.226253296
E_moorei_serpentinicola	9639676832	19.279353664
E_leucophloia_leucophloia	9709180732	19.418361464
E_ovularis	9721953540	19.44390708
E_albopurpurea_2	9827532488	19.655064976
E_formanii_formanii_2	9897025404	19.794050808
E_caesia_magna_1	9921994924	19.843989848
E_chlorophylla_1	9928925618	19.857851236
E_kruseana_1	10031774960	20.06354992
E_griffithsii	10168455510	20.33691102
E_drummondii_1	10171261880	20.34252376
E_conglobata_conglobata_2	10251396440	20.50279288
E_gracilis	10437630786	20.875261572
E_conveniens	10452626772	20.905253544
C_henryi_3	10487119778	20.974239556
E_megacarpa_2	10552643188	21.105286376
E_tholiformis_1	10638783268	21.277566536
E_calycogona_calycogona_1	10677846272	21.355692544
E_tholiformis_2	10683145858	21.366291716
E_gypsophila_2	10760078144	21.520156288
E_absita	10902425436	21.804850872
E_pileata_2	10955979326	21.911958652
E_varia_2	11183956460	22.36791292
C_trachyphloia_trachyphloia_1	11281476370	22.56295274
C_henryi_2	11310270626	22.620541252
E_brachycalyx_1	11312450268	22.624900536
E_leptophylla_1	11376936974	22.753873948
E_rupestris_1	11430941096	22.861882192
E_ovata_ovata_4	11460778388	22.921556776
E_chloroclada_3	11467785650	22.9355713
E_transcontinentalis	11555105696	23.110211392
E_macrandra_2	11725595562	23.451191124
E_baudiniana_1	11804910526	23.609821052
E_x_walshii_1	11878818778	23.757637556
E_crucis_lanceolata_4	11931551914	23.863103828
E_odorata_x_E_phenax	11937648538	23.875297076
C_eremaea_oligocarpa	11948281580	23.89656316
E_phaenophylla_4	12120420084	24.240840168
E_rigidula_8	12152891090	24.30578218
E_granitica	12200615460	24.40123092
E_cylindriflora	12265940510	24.53188102
E_ravida	12273901504	24.547803008
E_kochii_amaryssia	12416460150	24.8329203
E_chlorophylla_2	12461217830	24.92243566
E_bicostata	12462047372	24.924094744
E_ovata_grandiflora	12481808686	24.963617372
E_sp_Dunbar_Road_2	12644046708	25.288093416
E_decorticans	12672976264	25.345952528
E_kochii_borealis	12701983028	25.403966056
E_stellulata_Little_Star	12795550012	25.591100024
E_stricta	12855257598	25.710515196
E_stoatei	13001673430	26.00334686
E_intertexta_2	13038847868	26.077695736
E_cameronii	13161417434	26.322834868
C_henryi_4	13215876500	26.431753
E_ecostata_1	13229107308	26.458214616
E_x_hawkeri_1	13376639840	26.75327968
E_victrix_2	13378449274	26.756898548
E_gittinsii_illucida	13392122902	26.784245804
E_striaticalyx_1	13406274560	26.81254912
E_aggregata	13491423158	26.982846316
E_verrucata	13530688968	27.061377936
E_wyolensis	13607560890	27.21512178
E_malacoxylon	13622648068	27.245296136
E_melanophloia_melanophloia	13644002480	27.28800496
E_ovata_ovata_3	13697549454	27.395098908
E_brownii	13780023394	27.560046788
E_dalrympleana_Tasmania_2	13967107934	27.934215868
E_robusta_x_E_tereticornis	14027503730	28.05500746
E_preissiana_lobata_1	14045841094	28.091682188
E_exserta	14143135594	28.286271188
E_obtusiflora_dongarraensis	14148207030	28.29641406
E_tereticornis_rotunda_1	14162951418	28.325902836
E_trivalva_1	14187977856	28.375955712
E_camphora_camphora	14203335708	28.406671416
E_synandra_3	14239163290	28.47832658
E_gomphocephala_x_E_zopherophloia_2	14241626794	28.483253588
E_conglobata_conglobata_3	14262673744	28.525347488
E_kochii_kochii	14350330300	28.7006606
E_dolichorhyncha	14436937170	28.87387434
E_kumarlensis_1	14467714946	28.935429892
E_marginata_Dull_leaf_1	14499700308	28.999400616
E_dalrympleana_Tasmania_1	14532313812	29.064627624
E_leptopoda_arctata_2	14540961376	29.081922752
C_calophylla_2	14545295754	29.090591508
C_chippendalei	14570608958	29.141217916
C_sphaerica	14664464666	29.328929332
E_bancroftii	14698848414	29.397696828
E_erythrocorys_1	14782602822	29.565205644
E_exilipes_2	14823028652	29.646057304
E_victrix_3	14833377598	29.666755196
E_leucophloia_euroa	14861032942	29.722065884
C_calophylla_1	14877510786	29.755021572
E_amygdalina_2	14942051162	29.884102324
E_crucis_lanceolata_2	14945228210	29.89045642
E_vegrandis_vegrandis_1	14953480970	29.90696194
E_elata_1	14962959460	29.92591892
C_leptoloma	14996420806	29.992841612
E_leucophloia_1	14998242886	29.996485772
E_suffulgens	15027786176	30.055572352
E_youngiana_1	15030010254	30.060020508
E_lehmannii_lehmannii	15065223518	30.130447036
E_effusa_exsul_2	15077195660	30.15439132
E_georgei_georgei	15133948520	30.26789704
E_fraseri_fraseri_1	15172241112	30.344482224
E_lockyeri_2	15243175174	30.486350348
E_rameliana	15282948018	30.565896036
E_vegrandis_vegrandis_2	15286724738	30.573449476
E_intertexta_1	15310993984	30.621987968
E_sp_Queen_Victoria_Spring_2	15378561146	30.757122292
E_pauciflora_parvifructa_2	15433278960	30.86655792
E_tereticornis_tereticornis_3	15483488162	30.966976324
E_grossa_1	15486655406	30.973310812
E_tereticornis_tereticornis_2	15497054250	30.9941085
E_celastroides_celastroides	15524729406	31.049458812
E_petraea_1	15574735980	31.14947196
C_setosa_pedicellaris_x_C_brachycarpa	15586124630	31.17224926
E_decipiens_1	15614938046	31.229876092
E_rigidula_4	15651100376	31.302200752
E_microcarpa	15657807370	31.31561474
E_olivina_2	15663967418	31.327934836
E_quaerenda_2	15698900984	31.397801968
E_blaxellii_2	15700987784	31.401975568
E_formanii_Broadxleaf_3	15706395954	31.412791908
E_molyneuxii	15712178850	31.4243577
E_quadrans	15723170986	31.446341972
E_cylindrocarpa_2	15734827692	31.469655384
E_fergusonii_dorsiventralis	15735487322	31.470974644
E_chloroclada_2	15786132586	31.572265172
E_mimica_continens	15790387994	31.580775988
E_diminuta_1	15802510938	31.605021876
E_brevipes_2	15812960462	31.625920924
E_erythrocorys_4	15838057848	31.676115696
E_sp_Mulga_Rock_3	15953918216	31.907836432
E_carnei	15958388564	31.916777128
E_sp_Kalbarri_1	15974667518	31.949335036
E_arachnaea_arrecta_1	15977908034	31.955816068
E_x_bunyip_2	16000324318	32.000648636
E_kingsmillii_2	16019603098	32.039206196
E_myriadena_4	16021485100	32.0429702
E_bakeri	16102402002	32.204804004
E_loxophleba_loxophleba	16118123650	32.2362473
E_dundasii	16160880160	32.32176032
E_longissima	16207596448	32.415192896
E_x_carolaniae_2	16248599868	32.497199736
E_quaerenda_1	16266364854	32.532729708
E_pallida	16275444398	32.550888796
E_laevis	16342109662	32.684219324
E_aridomontana_3	16418653750	32.8373075
E_myriadena_2	16432624952	32.865249904
E_goniocalyx_viridissima	16452660478	32.905320956
E_baueriana	16463312776	32.926625552
E_marginata_Dull_leaf_2	16465677658	32.931355316
C_petalophylla	16471852536	32.943705072
E_patellaris	16487530082	32.975060164
E_sp_Great_Victoria_Desert_4	16547338102	33.094676204
E_loxophleba_supralaevis_1	16583609774	33.167219548
E_striaticalyx_2	16599628780	33.19925756
E_exilipes_1	16602083212	33.204166424
E_loxophleba_lissophloia	16605266520	33.21053304
E_planipes_1	16633470702	33.266941404
E_peninsularis_1	16649188756	33.298377512
E_acies	16668800516	33.337601032
