label	voucher	subgenus	section	n_locus	notes
abergiana_CCA3263	DN 1303	Corymbia	Notiales	1144	
absita_CCA1184	DN 1154	Symphyomyrtus	Adnataria	1187	label fix (previous: CCA1278)
acies_CCA6062	DN 225	Eucalyptus	Frutices	1172	putative contamination / mislabelling
acmenoides_CCA3271	DN 1299	Eucalyptus	Amentum	1135	
adesmophloia_CCA0294	DN 216	Symphyomyrtus	Bisectae	1187	
aequioperta_CCA5851	DN 5458	Symphyomyrtus	Dumaria	1187	
aequioperta_x_sheathiana_CCA0319	DN 307	Symphyomyrtus	Dumaria	1178	
agglomerata_CCA3015	DN 1754	Eucalyptus	Eucalyptus	1187	
aggregata_CCA1636	DN 1224	Symphyomyrtus	Maidenaria	1185	
alatissima_CCA0014	DN 7	Symphyomyrtus	Bisectae	1187	
alatissima_CCA2846	DN 1530	Symphyomyrtus	Bisectae	1185	
alba_australasica_CCA4913	DN 4211	Symphyomyrtus	Exsertaria	1166	
albens		Symphyomyrtus	Adnataria	1187	invalid voucher
albens_CCA2856	DN 1676	Symphyomyrtus	Adnataria	1186	
albens_CCA2857	DN 1676	Symphyomyrtus	Adnataria	1159	technical replicates
albens_CCA3821	DN 2898	Symphyomyrtus	Adnataria	1154	
albens_Ferguson2024		Symphyomyrtus	Adnataria	1186	not CCA
albopurpurea_CCA0662		Symphyomyrtus	Adnataria	996	technical replicates
albopurpurea_CCA0665		Symphyomyrtus	Adnataria	1185	
albopurpurea_CCA1345	DN 825	Symphyomyrtus	Adnataria	1187	putative contamination / mislabelling
albopurpurea_CCA1356	DN 942	Symphyomyrtus	Adnataria	1187	
alipes_CCA5735	DN 5480	Symphyomyrtus	Glandulosae	1186	
ammophila_CCA1515	DN 1284	Symphyomyrtus	Exsertaria	367	
amygdalina_CCA5862	DN 6722	Eucalyptus	Eucalyptus	1187	
amygdalina_CCA5863	DN 6722	Eucalyptus	Eucalyptus	1186	technical replicates
ANBG9806169_Ferguson2024		Eucalyptus	Eucalyptus	1185	not CCA
angulosa_CCA1155	DN 1136	Symphyomyrtus	Dumaria	1187	label fix (previous: CCA1315)
angulosa_CCA1313	DN 939	Symphyomyrtus	Dumaria	1184	label fix (previous: CCA1156); technical replicates
angulosa_CCA1315	DN 939	Symphyomyrtus	Dumaria	1187	label fix (previous: CCA1155)
angustissima_CCA0124	DN 150	Symphyomyrtus	Bisectae	1140	technical replicates
angustissima_CCA0127	DN 150	Symphyomyrtus	Bisectae	1186	
annulata_CCA0310	DN 206	Symphyomyrtus	Glandulosae	1186	
aparrerinja_CCA2829		Blakella	Abbreviatae	1144	technical replicates
aparrerinja_CCA2832		Blakella	Abbreviatae	1163	
apocynifolia_apocynifolia_CCA3247	DN 2073	Angophora		1150	technical replicates
apocynifolia_apocynifolia_CCA3248	DN 2073	Angophora		1151	
apodophylla_CCA5604	DN 2456	Symphyomyrtus	Exsertaria	1186	technical replicates
apodophylla_CCA5605	DN 2456	Symphyomyrtus	Exsertaria	1186	
apothalassica_CCA1573	DN 1263	Eucalyptus	Amentum	1187	
arachnaea_arachnaea_CCA0414	DN 296	Symphyomyrtus	Glandulosae	1187	
arachnaea_arrecta_CCA5765	DN 5556	Symphyomyrtus	Glandulosae	1186	
arachnaea_arrecta_CCA5767	DN 5556	Symphyomyrtus	Glandulosae	1187	technical replicates
arachnaea_x_redunca_pluricaulis_CCA0448	DN 251	Symphyomyrtus	Glandulosae	1184	
arborella_CCA1236	DN 1127	Symphyomyrtus	Glandulosae	1186	label fix (previous: CCA1246)
arctata_CCA0028	DN 291	Symphyomyrtus	Bisectae	1183	
arctata_CCA0029	DN 291	Symphyomyrtus	Bisectae	1186	technical replicates
arctata_CCA0314	DN 276	Symphyomyrtus	Bisectae	1186	
arenacea_CCA2955	DN 1588	Eucalyptus	Eucalyptus	1187	
argutifolia_CCA0160	DN 249	Symphyomyrtus	Dumaria	1186	
aridimontana_CCA5792	DN 5778	Symphyomyrtus	Adnataria	1187	
aridimontana_CCA5793	DN 5778	Symphyomyrtus	Adnataria	1187	technical replicates
aridimontana_CCA5849	DN 5766	Symphyomyrtus	Adnataria	1187	
armillata_CCA0412	DN 287	Symphyomyrtus	Glandulosae	1187	
arnhemensis_CCA5693	DN 2484	Corymbia	Notiales	1165	
aspersa_CCA2993	DN 1890	Symphyomyrtus	Bisectae	1186	putative contamination / mislabelling
aspratilis_CCA0490	DN 328	Symphyomyrtus	Glandulosae	1187	
aspratilis_CCA5995	DN 7001	Symphyomyrtus	Glandulosae	1185	technical replicates
aspratilis_CCA5996	DN 7001	Symphyomyrtus	Glandulosae	1186	
assimilans_CCA2867	DN 1826	Symphyomyrtus	Dumaria	1187	technical replicates
assimilans_CCA2868	DN 1826	Symphyomyrtus	Dumaria	1187	
astringens_merleae_CCA0605	DN 194	Symphyomyrtus	Glandulosae	1187	
astringens_redacta_CCA1455	DN 214	Symphyomyrtus	Glandulosae	1185	
astringens_redacta_CCA1456	DN 214	Symphyomyrtus	Glandulosae	1185	technical replicates
atrata_CCA1619	DN 1308	Symphyomyrtus	Adnataria	1186	technical replicates
atrata_CCA1620	DN 1308	Symphyomyrtus	Adnataria	1186	
baileyana_CCA0813	DN 665	Eudesmia	Reticulatae	1171	
baiophylla_CCA1271	DN 1181	Symphyomyrtus	Glandulosae	1186	label fix (previous: CCA1193)
bakeri_CCA1586	DN 1269	Symphyomyrtus	Bisectae	1183	
balladoniensis_balladoniensis_CCA0459	DN 118	Symphyomyrtus	Bisectae	1186	putative contamination / mislabelling
bancroftii_CCA1684	DN 1241	Symphyomyrtus	Exsertaria	1187	
baudiniana_CCA5808	DN 5577	Symphyomyrtus	Dumaria	1186	technical replicates
baudiniana_CCA5811	DN 5577	Symphyomyrtus	Dumaria	1187	
baudiniana_x_oraria_intergrade_CCA5634	DN 5575	Symphyomyrtus	Dumaria	1185	
baudiniana_x_oraria_intergrade_CCA5636	DN 5575	Symphyomyrtus	Dumaria	1185	technical replicates
baueriana_CCA1632	DN 1252	Symphyomyrtus	Adnataria	1187	
baxteri_CCA5918	DN 7234	Eucalyptus	Eucalyptus	1174	technical replicates
baxteri_CCA5920	DN 7234	Eucalyptus	Eucalyptus	1187	
baxteri_CCA5921	DN 7234	Eucalyptus	Eucalyptus	1186	technical replicates
beardiana_CCA5727	DN 5708	Symphyomyrtus	Bisectae	1187	technical replicates
beardiana_CCA5728	DN 5708	Symphyomyrtus	Bisectae	1186	
behriana_CCA1333	DN 783	Symphyomyrtus	Adnataria	1187	technical replicates
behriana_CCA1335	DN 783	Symphyomyrtus	Adnataria	1182	label fix (previous: CCA1144)
behriana_x_largiflorens_CCA1404	DN 2065	Symphyomyrtus	Adnataria	1187	
bicostata_CCA0137	DN 468	Symphyomyrtus	Maidenaria	1170	technical replicates
bicostata_CCA1698	DN 468	Symphyomyrtus	Maidenaria	1186	
blakelyi_CCA0758	DN 722	Symphyomyrtus	Exsertaria	1143	
blaxellii_CCA0395	DN 272	Symphyomyrtus	Glandulosae	1186	technical replicates
blaxellii_CCA0396	DN 272	Symphyomyrtus	Glandulosae	1187	
bosistoana_CCA3041	DN 1733	Symphyomyrtus	Adnataria	1185	
botryoides_CCA0671		Symphyomyrtus	Latoangulatae	1181	putative contamination / mislabelling
botryoides_CCA3019	DN 1739	Symphyomyrtus	Latoangulatae	1187	
botryoides_CCA4939	DN 6307	Symphyomyrtus	Latoangulatae	1169	
brachycalyx_CCA0553	DN 553	Symphyomyrtus	Dumaria	1187	
brandiana_CCA5701	DN 5514	Symphyomyrtus	Dumaria	1187	
brandiana_Ferguson2024		Symphyomyrtus	Dumaria	1187	not CCA
brassiana_CCA1685	DN 1316	Symphyomyrtus	Exsertaria	1187	
brevipes_CCA0437	DN 299	Symphyomyrtus	Adnataria	1185	
brevipes_CCA0438	DN 299	Symphyomyrtus	Adnataria	1185	technical replicates
brevistylis_CCA1374	DN 1141	Eucalyptus	Longistylus	1186	
bridgesiana_CCA0681	DN 760	Symphyomyrtus	Maidenaria	1181	
bridgesiana_CCA0682	DN 760	Symphyomyrtus	Maidenaria	1186	technical replicates
brockwayi_CCA0175	DN 136	Symphyomyrtus	Bisectae	1035	technical replicates
brockwayi_CCA0178	DN 136	Symphyomyrtus	Bisectae	1186	
brownii_CCA1587	DN 1293	Symphyomyrtus	Adnataria	1185	
brunnea_CCA0164	DN 669	Symphyomyrtus	Maidenaria	1181	
burracoppinensis_CCA0378	DN 306	Symphyomyrtus	Bisectae	1187	
cadens_CCA2949	DN 1772	Symphyomyrtus	Maidenaria	1187	
caesia_boodjin_CCA5666	DN 5542	Symphyomyrtus	Bisectae	1186	
caesia_boodjin_CCA5668	DN 5542	Symphyomyrtus	Bisectae	1187	technical replicates
caesia_caesia_CCA0321	DN 308	Symphyomyrtus	Bisectae	1187	
caesia_caesia_CCA0324	DN 308	Symphyomyrtus	Bisectae	1187	technical replicates
caesia_magna_CCA0658	DN 304	Symphyomyrtus	Bisectae	1187	
caesia_magna_CCA5673	DN 5455	Symphyomyrtus	Bisectae	1187	technical replicates
caesia_magna_CCA5674	DN 5455	Symphyomyrtus	Bisectae	1187	
caesia_magna_CCA5721	DN 5610	Symphyomyrtus	Bisectae	1187	
caesia_magna_CCA5722	DN 5610	Symphyomyrtus	Bisectae	1187	technical replicates
caesia_Southern_rocks_CCA5820	DN 5550	Symphyomyrtus	Bisectae	1187	
calcareana_CCA0368	DN 103	Symphyomyrtus	Dumaria	1187	
calcareana_CCA0482	DN 60	Symphyomyrtus	Dumaria	1187	
calcareana_CCA1156	DN 1074	Symphyomyrtus	Dumaria	1187	label fix (previous: CCA1313); technical replicates
calcareana_CCA1157	DN 1074	Symphyomyrtus	Dumaria	1187	label fix (previous: CCA1311)
calcicola_unita_CCA2965	DN 1878	Eucalyptus	Frutices	1186	
calcicola_unita_CCA2968	DN 1878	Eucalyptus	Frutices	1187	technical replicates
caleyi_CCA0708	DN 746	Symphyomyrtus	Adnataria	1176	
caleyi_CCA1421	DN 2102	Symphyomyrtus	Adnataria	1187	
caleyi_Ferguson2024		Symphyomyrtus	Adnataria	1187	not CCA
caliginosa_CCA2994	DN 1249	Eucalyptus	Eucalyptus	1187	putative contamination / mislabelling
calophylla_CCA1290	DN 1160	Corymbia	Calophyllae	1078	
calophylla_CCA5889	DN 6707	Corymbia	Calophyllae	1172	technical replicates
calophylla_CCA5890	DN 6707	Corymbia	Calophyllae	1167	
calophylla_Ferguson2024		Corymbia	Calophyllae	1167	not CCA
calycogona_calycogona_CCA1220	DN 1112	Symphyomyrtus	Adnataria	1186	label fix (previous: CCA1262)
calycogona_calycogona_CCA1222	DN 1112	Symphyomyrtus	Adnataria	1186	label fix (previous: CCA1260); technical replicates
calycogona_calycogona_CCA5772	DN 4558	Symphyomyrtus	Adnataria	1187	
calycogona_trachybasis_CCA0674	DN 732	Symphyomyrtus	Adnataria	1181	
camaldulensis_arida_CCA1135	DN 1206	Symphyomyrtus	Exsertaria	1180	technical replicates
camaldulensis_arida_CCA1136	DN 1206	Symphyomyrtus	Exsertaria	1187	label fix (previous: CCA1343)
camaldulensis_arida_CCA4034	DN 4177	Symphyomyrtus	Exsertaria	1047	
camaldulensis_arida_CCA5622	DN 5571	Symphyomyrtus	Exsertaria	1187	technical replicates
camaldulensis_arida_CCA5623	DN 5571	Symphyomyrtus	Exsertaria	1187	
camaldulensis_arida_CCA5677	DN 5077	Symphyomyrtus	Exsertaria	1187	technical replicates
camaldulensis_arida_CCA5680	DN 5077	Symphyomyrtus	Exsertaria	1187	
camaldulensis_camaldulensis_1_CCA4957	DN 4733	Symphyomyrtus	Exsertaria	1169	technical replicates
camaldulensis_camaldulensis_2_CCA4957	DN 4733	Symphyomyrtus	Exsertaria	1153	
camaldulensis_camaldulensis_CCA1266	DN 823	Symphyomyrtus	Exsertaria	1154	technical replicates
camaldulensis_camaldulensis_CCA1267	DN 823	Symphyomyrtus	Exsertaria	1169	technical replicates
camaldulensis_camaldulensis_CCA1268	DN 823	Symphyomyrtus	Exsertaria	1121	
camaldulensis_camaldulensis_CCA1269	DN 823	Symphyomyrtus	Exsertaria	1186	label fix (previous: CCA1197); technical replicates
camaldulensis_Ferguson2024		Symphyomyrtus	Exsertaria	1186	not CCA
camaldulensis_minima_CCA5430	DN 5233	Symphyomyrtus	Exsertaria	1078	
camaldulensis_obtusa_CCA3451	DN 2489	Symphyomyrtus	Exsertaria	1155	
camaldulensis_refulgens_CCA5651	DN 5747	Symphyomyrtus	Exsertaria	1187	
camaldulensis_refulgens_CCA5652	DN 5747	Symphyomyrtus	Exsertaria	1187	technical replicates
camaldulensis_simulata_CCA1644	DN 1314	Symphyomyrtus	Exsertaria	1168	
camaldulensis_simulata_CCA1645	DN 1314	Symphyomyrtus	Exsertaria	1187	technical replicates
cameronii_CCA5981	DN 709	Eucalyptus	Eucalyptus	1187	
campaspe_CCA6048	DN 5660	Symphyomyrtus	Glandulosae	1187	
camphora_camphora_CCA0214	DN 616	Symphyomyrtus	Maidenaria	1187	
canaliculata_CCA1701	DN 1232	Symphyomyrtus	Pumilio	1187	
candida_CCA6067	DN 7230	Blakella	Abbreviatae	1153	putative contamination / mislabelling
canescens_beadellii_CCA1468	DN 1506	Symphyomyrtus	Dumaria	1186	
canescens_canescens_CCA0508	DN 487	Symphyomyrtus	Dumaria	1186	
canobolensis_CCA1615	DN 1222	Symphyomyrtus	Maidenaria	1187	
capillosa_capillosa_CCA0172	DN 300	Symphyomyrtus	Glandulosae	1186	
capillosa_capillosa_CCA0174	DN 300	Symphyomyrtus	Glandulosae	1186	technical replicates
capillosa_capillosa_CCA0252	DN 241	Symphyomyrtus	Glandulosae	1187	
capillosa_nigrifunda_CCA0513	DN 533	Symphyomyrtus	Glandulosae	1187	
capitanea_CCA1161	DN 1076	Symphyomyrtus	Dumaria	1187	label fix (previous: CCA1310); technical replicates
