sequencing_id	project_id	folder_name	sample_id	species_name	genus	subgenus	section	series	subseries	species	subspecies	tip_label
1457237	1456334	Angflosequencing_FD	CCA2813	Angophora floribunda	Angophora			Angophora	'Floribundinae' ms	floribunda		A_floribunda
1457127	1456114	Angleisequencing_3_FD	CCA1427	Angophora leiocarpa	Angophora			'Costatitae' ms		leiocarpa		A_leiocarpa_1
1457128	1456116	Angleisequencing_4_FD	CCA1430	Angophora leiocarpa	Angophora			'Costatitae' ms		leiocarpa		A_leiocarpa_2
1457243	1456346	Corapasequencing_FD	CCA2832	Corymbia aparrerinja	Corymbia	Blakella	Abbreviatae	'Scutiformes' ms		aparrerinja		C_aparrerinja
1456552	1454964	Corarnsequencing_2_FD	CCA5693	Corymbia arnhemensis	Corymbia	Corymbia	Corymbia	'Dorsiventrales' ms		arnhemensis		C_arnhemensis
1457081	1456022	Corcalsequencing_8_FD	CCA1291	Corymbia calophylla	Corymbia	Corymbia	Calophyllae			calophylla		C_calophylla_1
1456641	1455142	Corcalsequencing_6_FD	CCA5889	Corymbia calophylla	Corymbia	Corymbia	Calophyllae			calophylla		C_calophylla_2
1456640	1455140	Corcalsequencing_7_FD	CCA5890	Corymbia calophylla	Corymbia	Corymbia	Calophyllae			calophylla		C_calophylla_3
1456738	1455336	Corcansequencing_2_FD	CCA6067	Corymbia candida	Corymbia	Blakella	Abbreviatae	'Scutiformes' ms		candida		C_candida
1456608	1455076	Corchisequencing_2_FD	CCA5826	Corymbia chippendalei	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	chippendalei		C_chippendalei
1456679	1455218	Corchlsequencing_3_FD	CCA5938	Corymbia chlorolampra	Corymbia	Corymbia	Calophyllae			chlorolampra		C_chlorolampra
1457240	1456340	Corcitsequencing_5_FD	CCA2823	Corymbia citriodora	Corymbia	Blakella	Maculatae			citriodora		C_citriodora_1
1457241	1456342	Corcitsequencing_6_FD	CCA2825	Corymbia citriodora	Corymbia	Blakella	Maculatae			citriodora		C_citriodora_2
1456601	1455062	Corclisequencing_2_FD	CCA5773	Corymbia cliftoniana	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	cliftoniana		C_cliftoniana
1456614	1455088	Cordessequencing_5_FD	CCA5816	Corymbia deserticola subsp. deserticola	Corymbia	Corymbia	Corymbia	'Terminalipterae' ms		deserticola	deserticola	C_deserticola_deserticola_1
1456613	1455086	Cordessequencing_6_FD	CCA5819	Corymbia deserticola subsp. deserticola	Corymbia	Corymbia	Corymbia	'Terminalipterae' ms		deserticola	deserticola	C_deserticola_deserticola_2
1456741	1455342	EucNAsequencing_50_FD	CCA6079	Corymbia eremaea subsp. oligiocarpa								C_eremaea_oligiocarpa
1457026	1455912	Coreresequencing_2_FD	CCA1133	Corymbia eremaea subsp. oligocarpa	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	eremaea	oligocarpa	C_eremaea_oligocarpa
1456506	1454872	Corficsequencing_2_FD	CCA5617	Corymbia ficifolia	Corymbia	Corymbia	Calophyllae			ficifolia		C_ficifolia
1457082	1456024	Corhaesequencing_3_FD	CCA1294	Corymbia haematoxylon	Corymbia	Corymbia	Calophyllae			haematoxylon		C_haematoxylon
1457195	1456250	EucNAsequencing_57_FD	CCA1608	Corymbia henryi								C_henryi_1
1457196	1456252	EucNAsequencing_56_FD	CCA1609	Corymbia henryi								C_henryi_2
1457197	1456254	EucNAsequencing_59_FD	CCA1610	Corymbia henryi								C_henryi_3
1457198	1456256	EucNAsequencing_58_FD	CCA1611	Corymbia henryi								C_henryi_4
1457171	1456202	EucNAsequencing_63_FD	CCA1548	Corymbia leichhardii								C_leichhardii_1
1457172	1456204	EucNAsequencing_62_FD	CCA1550	Corymbia leichhardii								C_leichhardii_2
1456634	1455128	Corlensequencing_2_FD	CCA5848	Corymbia lenziana	Corymbia	Corymbia	Corymbia	'Isobilaterales' ms	'Limitaneae' ms	lenziana		C_lenziana
1457231	1456322	Corlepsequencing_FD	CCA1688	Corymbia leptoloma	Corymbia	Blakella	Naviculares			leptoloma		C_leptoloma
1457309	1456478	Cormacsequencing_FD	CCA3013	Corymbia maculata	Corymbia	Blakella	Maculatae			maculata		C_maculata
1456529	1454918	Corpapsequencing_2_FD	CCA5646	Corymbia papillosa	Corymbia	Corymbia	Corymbia	'Terminalipterae' ms		papillosa		C_papillosa
1457181	1456222	Corpetsequencing_FD	CCA1569	Corymbia petalophylla	Corymbia	Blakella	Naviculares			petalophylla		C_petalophylla
1456690	1455240	Corpolsequencing_5_FD	CCA5901	Corymbia polycarpa	Corymbia	Corymbia	Corymbia	'Dorsiventrales' ms		polycarpa		C_polycarpa_1
