sample	data_type	target_file
A_floribunda	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
A_floribunda_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
A_leiocarpa_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
A_leiocarpa_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_aparrerinja	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_arnhemensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_calophylla_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_calophylla_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_calophylla_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_calophylla_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_candida	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_chippendalei	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_chlorolampra	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_citriodora_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_citriodora_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_cliftoniana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_deserticola_deserticola_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_deserticola_deserticola_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_eremaea_oligiocarpa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_eremaea_oligocarpa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_ficifolia	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_haematoxylon	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_henryi_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_henryi_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_henryi_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_leichhardii_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_leichhardii_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_lenziana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_leptoloma	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_maculata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_maculata_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_papillosa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_petalophylla	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_polycarpa_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_polycarpa_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_ptychocarpa_ptychocarpa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_rhodops	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_scabrida	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_setosa_pedicellaris_x_C_brachycarpa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_setosa_setosa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_sphaerica	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_terminalis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_tessellaris_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_tessellaris_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_tessellaris_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_trachyphloia_amphistomatica	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_trachyphloia_trachyphloia_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_trachyphloia_trachyphloia_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
C_variegata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_noneucs.fna
E_ANBG9806169_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_absita	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_acies	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_adesmophloia	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aenea	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aequioperta	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aequioperta_x_E_sheathiana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_agglomerata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aggregata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_alaticaulis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_alatissima_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_alatissima_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_albens_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_albens_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_albens_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_albopurpurea_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_albopurpurea_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_albopurpurea_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_albopurpurea_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_alipes	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_ammophila	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_amygdalina_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_amygdalina_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_angulosa_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_angulosa_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_angulosa_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_angustissima	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_annulata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_apodophylla_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_apodophylla_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_apothalassica	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_arachnaea_arachnaea	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_arachnaea_arrecta_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_arachnaea_arrecta_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_arachnaea_x_E_pluricaulis_intergrade_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_arborella	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_arenacea	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_argutifolia	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aridomontana_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aridomontana_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aridomontana_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_armillata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_articulata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aspersa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aspratilis_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aspratilis_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_aspratilis_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_assimilans_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_assimilans_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_astringens_redacta_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_astringens_redacta_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_astringens_redacta_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_atrata_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_atrata_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baiophylla	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_bakeri	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_balladoniensis_balladoniensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_bancroftii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baudiniana_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baudiniana_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baudiniana_x_E_oraria_intergrade_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baudiniana_x_E_oraria_intergrade_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baueriana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baxteri_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_baxteri_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_beardiana_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_beardiana_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_behriana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_behriana_x_E_largiflorens	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_behriana_x_E_xodorata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
