species_one	species_two	species_three	outgroup	percentage_hybrid
E_globulus_Ferguson2024	C_calophylla_Ferguson2024	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_aggregata	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_albopurpurea_4	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_angulosa_3	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_astringens_redacta_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_baueriana	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_botryoides	E_goniocalyx_viridissima	C_henryi_3	7.32
E_globulus_Ferguson2024	E_caesia_magna_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_calycogona_calycogona_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_camaldulensis_arida_5	E_goniocalyx_viridissima	C_henryi_3	26.53
E_globulus_Ferguson2024	E_camaldulensis_simulata	E_goniocalyx_viridissima	C_henryi_3	2.08
E_globulus_Ferguson2024	E_conglobata_conglobata_3	E_goniocalyx_viridissima	C_henryi_3	0.96
E_globulus_Ferguson2024	E_cordata_quadrangulosa_1	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_cornuta	E_goniocalyx_viridissima	C_henryi_3	3.13
E_globulus_Ferguson2024	E_cosmophylla_1	E_goniocalyx_viridissima	C_henryi_3	0.21
E_globulus_Ferguson2024	E_dawsonii_Ferguson2024	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_decipiens_1	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_deflexa	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_drummondii_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_dwyeri	E_goniocalyx_viridissima	C_henryi_3	2.78
E_globulus_Ferguson2024	E_erythronema_inornata	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_exigua	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_fasciculosa	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_flocktoniae_flocktoniae_1	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_froggattii	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_gardneri_gardneri	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_gillii_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_gracilis	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_insularis_continentalis	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_lansdowneana	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_largiflorens_1	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_leucoxylon_megalocarpa_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_melliodora_Ferguson2024	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_minniritchi	E_goniocalyx_viridissima	C_henryi_3	13.11
E_globulus_Ferguson2024	E_morrisbyi_2	E_goniocalyx_viridissima	C_henryi_3	28.57
E_globulus_Ferguson2024	E_odorata	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_oraria_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_ovata_ovata_3	E_goniocalyx_viridissima	C_henryi_3	50
E_globulus_Ferguson2024	E_paniculata_Ferguson2024	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_phaenophylla_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_polyanthemos_Ferguson2024	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_porosa	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_pulverulenta	E_goniocalyx_viridissima	C_henryi_3	11.41
E_globulus_Ferguson2024	E_pyriformis	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_rudis_cratyantha_2	E_goniocalyx_viridissima	C_henryi_3	1.28
E_globulus_Ferguson2024	E_scyphocalyx_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_socialis_socialis_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_tenera_1	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_tereticornis_tereticornis_3	E_goniocalyx_viridissima	C_henryi_3	0.88
E_globulus_Ferguson2024	E_transcontinentalis	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_utilis_3	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_varia_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_viminalis_Ferguson2024	E_goniocalyx_viridissima	C_henryi_3	8
E_globulus_Ferguson2024	E_viminalis_cygnetensis	E_goniocalyx_viridissima	C_henryi_3	33.33
E_globulus_Ferguson2024	E_wandoo_pulverea_2	E_goniocalyx_viridissima	C_henryi_3	0
E_globulus_Ferguson2024	E_yilgarnensis_2	E_goniocalyx_viridissima	C_henryi_3	0
