FieldID,RowTree,CurrentName,Voucher,Provenance,RowNum,YearPlanted,TreeNum,DNNumber,FieldComments,Date,FieldDetermination,Location,Description,Latitude,Longitude,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies
CCA0001,R009/T03,Eucalyptus leptopoda subsp. elevata,DN 8,"Ilkurlka, WA",9,1993,3,8,NA,NA,Eucalyptus leptopoda subsp. elevata,"40 km east of Neale Junction, Western Australia.",PERTH,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Leptopodae,leptopoda,elevata
CCA0002,R009/T04,Eucalyptus leptopoda subsp. elevata,DN 8,"Ilkurlka, WA",9,1993,4,8,NA,NA,Eucalyptus leptopoda subsp. elevata,"40 km east of Neale Junction, Western Australia.",PERTH,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Leptopodae,leptopoda,elevata
CCA0003,R009/T05,Eucalyptus mannensis subsp. mannensis,-,"Giles, WA",9,1993,5,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Micrantherae,Bakerianae,mannensis,mannensis
CCA0004,R009/T09,Eucalyptus gamophylla,-,"Kings Canyon, NT",9,1993,9,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Eudesmia,Limbatae,Heteropterae,Patelliformes,gamophylla,
CCA0005,R009/T14,Eucalyptus victrix,-,"Gibson Desert, WA",9,1993,14,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Adnataria,Striolatae,,victrix,
CCA0006,R009/T15,Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,15,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,populnea,bimbil
CCA0007,R009/T16,Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,16,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,populnea,bimbil
CCA0008,R009/T17,Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,17,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,populnea,bimbil
CCA0009,R009/T18,Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,18,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,populnea,bimbil
CCA0010,R009/T19,Eucalyptus yilgarnensis,-,Unknown,9,1993,19,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,,yilgarnensis,
CCA0011,R009/T21,Eucalyptus yilgarnensis,-,Unknown,9,1993,21,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,,yilgarnensis,
CCA0012,R009/T22,Eucalyptus yilgarnensis,-,Unknown,9,1993,22,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,,yilgarnensis,
CCA0013,R009/T25,Eucalyptus glomerosa,-,"Warburton, WA",9,1993,25,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Xylocarpae,glomerosa,
CCA0014,R009/T26,Eucalyptus alatissima,DN 7,"Wanna Lakes, WA",9,1993,26,7,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Xylocarpae,alatissima,
CCA0015,R009/T28,Eucalyptus oxymitra,-,"Petermann Ranges, NT",9,1993,28,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Xylocarpae,oxymitra,
CCA0016,R009/T31,Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,31,113,NA,1992-12-05,Eucalyptus socialis subsp. victoriensis,West of Vokes Hill to Cook Road,"Mallee 3-4m tall. Common, often dominant on mallee sandplain with E. concinna. Bark rough on butt. No buds. Similar to E. eucentrica but non glaucous and thicker leaves and fruit.",-29.3697222222222,130.049166666667,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decussatae,socialis,victoriensis
CCA0017,R009/T32,Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,32,113,NA,1992-12-05,Eucalyptus socialis subsp. victoriensis,West of Vokes Hill to Cook Road,"Mallee 3-4m tall. Common, often dominant on mallee sandplain with E. concinna. Bark rough on butt. No buds. Similar to E. eucentrica but non glaucous and thicker leaves and fruit.",-29.3697222222222,130.049166666667,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decussatae,socialis,victoriensis
CCA0018,R009/T33,Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,33,113,NA,1992-12-05,Eucalyptus socialis subsp. victoriensis,West of Vokes Hill to Cook Road,"Mallee 3-4m tall. Common, often dominant on mallee sandplain with E. concinna. Bark rough on butt. No buds. Similar to E. eucentrica but non glaucous and thicker leaves and fruit.",-29.3697222222222,130.049166666667,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decussatae,socialis,victoriensis
CCA0019,R009/T34,Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,34,113,NA,1992-12-05,Eucalyptus socialis subsp. victoriensis,West of Vokes Hill to Cook Road,"Mallee 3-4m tall. Common, often dominant on mallee sandplain with E. concinna. Bark rough on butt. No buds. Similar to E. eucentrica but non glaucous and thicker leaves and fruit.",-29.3697222222222,130.049166666667,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decussatae,socialis,victoriensis
CCA0020,R009/T35,Eucalyptus pimpiniana,DN 110,"Ooldea Range, SA",9,1993,35,110,NA,1992-12-05,Eucalyptus pimpiniana,"Cook to Vokes Hill Road, Great Victoria Desert, South Australia.",Low mallee to 1.5 metres tall. Smooth bark. Dull blue-green leaves. In flower (yellow). Co dominant with Eucalyptus yumbarrana. Mallee scrub on sand plain with E. yumbarrana. .  Photo #2.,-29.3497222222222,130.193888888889,Eucalyptus,Symphyomyrtus,Dumaria,Dissonae,,pimpiniana,
CCA0021,R009/T37,Eucalyptus pimpiniana,DN 110,"Ooldea Range, SA",9,1993,37,110,NA,1992-12-05,Eucalyptus pimpiniana,"Cook to Vokes Hill Road, Great Victoria Desert, South Australia.",Low mallee to 1.5 metres tall. Smooth bark. Dull blue-green leaves. In flower (yellow). Co dominant with Eucalyptus yumbarrana. Mallee scrub on sand plain with E. yumbarrana. .  Photo #2.,-29.3497222222222,130.193888888889,Eucalyptus,Symphyomyrtus,Dumaria,Dissonae,,pimpiniana,
CCA0022,R010/T01,Eucalyptus suggrandis subsp. promiscua,DN 311,"Dragon Rocks, WA",10,1993,1,311,NA,1992-12-13,Eucalyptus suggrandis subsp. promiscua,"Track to Dragon Rocks, south of Hyden, Western Australia.","Small mallee to 4m tall. Smooth grey stems. Glossy olive green leaves. Growing on white sand with E. depauperata, E. flocktoniae and E. phaenophylla.",-32.7672222222222,119.090555555556,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Abundae,suggrandis,promiscua
CCA0023,R010/T02,Eucalyptus suggrandis subsp. promiscua,DN 311,"Dragon Rocks, WA",10,1993,2,311,NA,1992-12-13,Eucalyptus suggrandis subsp. promiscua,"Track to Dragon Rocks, south of Hyden, Western Australia.","Small mallee to 4m tall. Smooth grey stems. Glossy olive green leaves. Growing on white sand with E. depauperata, E. flocktoniae and E. phaenophylla.",-32.7672222222222,119.090555555556,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Abundae,suggrandis,promiscua
CCA0024,R010/T04,Eucalyptus suggrandis subsp. promiscua,DN 311,"Dragon Rocks, WA",10,1993,4,311,NA,1992-12-13,Eucalyptus suggrandis subsp. promiscua,"Track to Dragon Rocks, south of Hyden, Western Australia.","Small mallee to 4m tall. Smooth grey stems. Glossy olive green leaves. Growing on white sand with E. depauperata, E. flocktoniae and E. phaenophylla.",-32.7672222222222,119.090555555556,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Abundae,suggrandis,promiscua
CCA0025,R010/T06,Eucalyptus ebbanoensis subsp. photina,DN 270,"Mt Michael, WA",10,1993,6,270,NA,1992-12-12,Eucalyptus ebbanoensis subsp. photina,NA,"Mallee 3-4m tall. A pure stand, emergent above Melaleuca uncinata at N foot Mount Michael. Bark smooth dark grey. Leaves glossy dark green",-29.8986111111111,114.965,Eucalyptus,Eudesmia,Limbatae,Ebbanoenses,,ebbanoensis,photina
CCA0026,R010/T07,Eucalyptus ebbanoensis subsp. photina,DN 270,"Mt Michael, WA",10,1993,7,270,NA,1992-12-12,Eucalyptus ebbanoensis subsp. photina,NA,"Mallee 3-4m tall. A pure stand, emergent above Melaleuca uncinata at N foot Mount Michael. Bark smooth dark grey. Leaves glossy dark green",-29.8986111111111,114.965,Eucalyptus,Eudesmia,Limbatae,Ebbanoenses,,ebbanoensis,photina
CCA0027,R010/T08,Eucalyptus ebbanoensis subsp. photina,DN 270,"Mt Michael, WA",10,1993,8,270,NA,1992-12-12,Eucalyptus ebbanoensis subsp. photina,NA,"Mallee 3-4m tall. A pure stand, emergent above Melaleuca uncinata at N foot Mount Michael. Bark smooth dark grey. Leaves glossy dark green",-29.8986111111111,114.965,Eucalyptus,Eudesmia,Limbatae,Ebbanoenses,,ebbanoensis,photina
CCA0028,R010/T11,Eucalyptus leptopoda subsp. arctata,DN 291,"Ballidu, WA",10,1993,11,291,NA,1992-12-13,Eucalyptus leptopoda subsp. arctata,NA,Mallee to 5m tall. Growing on loam with E. plenissima. Red-brown over creamy white bark coming off in long strips. Dull light green leaves,-30.5886111111111,116.756944444444,NA,NA,NA,NA,NA,NA,NA
CCA0029,R010/T12,Eucalyptus leptopoda subsp. arctata,DN 291,"Ballidu, WA",10,1993,12,291,NA,1992-12-13,Eucalyptus leptopoda subsp. arctata,NA,Mallee to 5m tall. Growing on loam with E. plenissima. Red-brown over creamy white bark coming off in long strips. Dull light green leaves,-30.5886111111111,116.756944444444,NA,NA,NA,NA,NA,NA,NA
CCA0030,R010/T13,Eucalyptus steedmanii,DN 317,"Forrestania, WA",10,1993,13,317,NA,1992-12-13,Eucalyptus steedmanii,WA,Mallet to 8m tall. Growing in Eucalypt thickets with E. flocktoniae and E. salubris. Slightly glossy bronze-grey bark to ground level. Glossy olive green leaves.,-32.4816666666667,119.676666666667,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Abundae,steedmanii,
