tip_label	genus	subgenus	section
A_floribunda	Angophora	Angophora	Angophora
A_leiocarpa_1	Angophora	Angophora	Angophora
A_leiocarpa_2	Angophora	Angophora	Angophora
C_aparrerinja	Corymbia	Blakella	Abbreviatae
C_arnhemensis	Corymbia	Corymbia	Corymbia
C_calophylla_1	Corymbia	Corymbia	Calophyllae
C_calophylla_2	Corymbia	Corymbia	Calophyllae
C_calophylla_3	Corymbia	Corymbia	Calophyllae
C_candida	Corymbia	Blakella	Abbreviatae
C_chippendalei	Corymbia	Corymbia	Corymbia
C_chlorolampra	Corymbia	Corymbia	Calophyllae
C_citriodora_1	Corymbia	Blakella	Maculatae
C_citriodora_2	Corymbia	Blakella	Maculatae
C_cliftoniana	Corymbia	Corymbia	Corymbia
C_deserticola_deserticola_1	Corymbia	Corymbia	Corymbia
C_deserticola_deserticola_2	Corymbia	Corymbia	Corymbia
C_eremaea_oligiocarpa	Corymbia	Corymbia	Corymbia
C_eremaea_oligocarpa	Corymbia	Corymbia	Corymbia
C_ficifolia	Corymbia	Corymbia	Calophyllae
C_haematoxylon	Corymbia	Corymbia	Calophyllae
C_henryi_2	Corymbia	Blakella	Maculatae
C_henryi_3	Corymbia	Blakella	Maculatae
C_henryi_4	Corymbia	Blakella	Maculatae
C_leichhardii_1	Corymbia	Blakella	Naviculares
C_leichhardii_2	Corymbia	Blakella	Naviculares
C_lenziana	Corymbia	Corymbia	Corymbia
C_leptoloma	Corymbia	Blakella	Naviculares
C_maculata	Corymbia	Blakella	Maculatae
C_papillosa	Corymbia	Corymbia	Corymbia
C_petalophylla	Corymbia	Blakella	Naviculares
C_polycarpa_1	Corymbia	Corymbia	Corymbia
C_polycarpa_2	Corymbia	Corymbia	Corymbia
C_ptychocarpa_ptychocarpa	Corymbia	Corymbia	Corymbia
C_rhodops	Corymbia	Corymbia	Corymbia
C_scabrida	Corymbia	Blakella	Naviculares
C_setosa_pedicellaris_x_C_brachycarpa	Corymbia-H	Corymbia-H	Corymbia-H
C_setosa_setosa	Corymbia	Corymbia	Corymbia
C_sphaerica	Corymbia	Corymbia	Corymbia
C_terminalis	Corymbia	Corymbia	Corymbia
C_tessellaris_1	Corymbia	Blakella	Abbreviatae
C_tessellaris_2	Corymbia	Blakella	Abbreviatae
C_tessellaris_3	Corymbia	Blakella	Abbreviatae
C_trachyphloia_amphistomatica	Corymbia	Corymbia	Corymbia
C_trachyphloia_trachyphloia_1	Corymbia	Corymbia	Corymbia
C_trachyphloia_trachyphloia_2	Corymbia	Corymbia	Corymbia
C_variegata	Corymbia	Blakella	Maculatae
E_absita	Eucalyptus	Symphyomyrtus	Adnataria
E_acies	Eucalyptus	Eucalyptus	'Frutices' ms
E_adesmophloia	Eucalyptus	Symphyomyrtus	Bisectae
E_aenea	Eucalyptus	Symphyomyrtus	Adnataria
E_aequioperta	Eucalyptus	Symphyomyrtus	Dumaria
E_aequioperta_x_E_sheathiana	Eucalyptus-H	Symphyomyrtus-H	Dumaria-H
E_agglomerata	Eucalyptus	Eucalyptus	Eucalyptus
E_aggregata	Eucalyptus	Symphyomyrtus	Maidenaria
E_alaticaulis	Eucalyptus	Symphyomyrtus	Maidenaria
E_alatissima_1	Eucalyptus	Symphyomyrtus	Bisectae
E_alatissima_2	Eucalyptus	Symphyomyrtus	Bisectae
E_albens_1	Eucalyptus	Symphyomyrtus	Adnataria
E_albens_2	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_1	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_2	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_3	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_4	Eucalyptus	Symphyomyrtus	Adnataria
E_alipes	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_ammophila	Eucalyptus	Symphyomyrtus	Exsertaria
E_amygdalina_1	Eucalyptus	Eucalyptus	Eucalyptus
E_amygdalina_2	Eucalyptus	Eucalyptus	Eucalyptus
E_angulosa_1	Eucalyptus	Symphyomyrtus	Dumaria
E_angulosa_2	Eucalyptus	Symphyomyrtus	Dumaria
E_angulosa_3	Eucalyptus	Symphyomyrtus	Dumaria
E_angustissima	Eucalyptus	Symphyomyrtus	Bisectae
E_annulata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_apodophylla_1	Eucalyptus	Symphyomyrtus	Exsertaria
E_apodophylla_2	Eucalyptus	Symphyomyrtus	Exsertaria
E_apothalassica	Eucalyptus	Eucalyptus	Eucalyptus
E_arachnaea_arachnaea	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arachnaea_arrecta_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arachnaea_arrecta_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arachnaea_x_E_pluricaulis_intergrade_1	Eucalyptus-H	Symphyomyrtus-H	Glandulosae' ms-H
E_arborella	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arenacea	Eucalyptus	Eucalyptus	Eucalyptus
E_argutifolia	Eucalyptus	Symphyomyrtus	Dumaria
E_aridomontana_1	Eucalyptus	Symphyomyrtus	Adnataria
E_aridomontana_2	Eucalyptus	Symphyomyrtus	Adnataria
E_aridomontana_3	Eucalyptus	Symphyomyrtus	Adnataria
E_armillata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_articulata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_aspersa	Eucalyptus	Symphyomyrtus	Bisectae
E_aspratilis_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_aspratilis_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_aspratilis_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_assimilans_1	Eucalyptus	Symphyomyrtus	Dumaria
E_assimilans_2	Eucalyptus	Symphyomyrtus	Dumaria
E_astringens_redacta_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_astringens_redacta_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_astringens_redacta_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_atrata_1	Eucalyptus	Symphyomyrtus	Adnataria
E_atrata_2	Eucalyptus	Symphyomyrtus	Adnataria
E_baiophylla	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_bakeri	Eucalyptus	Symphyomyrtus	Bisectae
