species_one	species_two	species_three	outgroup	percentage_hybrid
E_globulus_Ferguson2024	C_calophylla_2	A_leiocarpa_1	C_henryi_3	0
E_globulus_Ferguson2024	C_calophylla_3	A_leiocarpa_1	C_henryi_3	0
E_globulus_Ferguson2024	C_calophylla_Ferguson2024	A_leiocarpa_1	C_henryi_3	0
E_globulus_Ferguson2024	E_aggregata	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_albopurpurea_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_albopurpurea_4	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_angulosa_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_angulosa_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_angulosa_3	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_astringens_redacta_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_astringens_redacta_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_astringens_redacta_3	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_baueriana	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_botryoides	E_pallida	A_leiocarpa_1	7.32
E_globulus_Ferguson2024	E_caesia_Boyagin_Rock_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_Southern_rocks	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_caesia_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_caesia_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_magna_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_magna_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_magna_3	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_magna_4	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_caesia_magna_5	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_calycogona_calycogona_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_calycogona_trachybasis	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_camaldulensis_Ferguson2024	E_pallida	A_leiocarpa_1	26.53
E_globulus_Ferguson2024	E_camaldulensis_arida_2	E_pallida	A_leiocarpa_1	26.53
E_globulus_Ferguson2024	E_camaldulensis_arida_3	E_pallida	A_leiocarpa_1	26.53
E_globulus_Ferguson2024	E_camaldulensis_arida_4	E_pallida	A_leiocarpa_1	26.53
E_globulus_Ferguson2024	E_camaldulensis_arida_5	E_pallida	A_leiocarpa_1	26.53
E_globulus_Ferguson2024	E_camaldulensis_refulgens_1	E_pallida	A_leiocarpa_1	26.53
E_globulus_Ferguson2024	E_camaldulensis_refulgens_2	E_pallida	A_leiocarpa_1	26.53
E_globulus_Ferguson2024	E_camaldulensis_simulata	E_pallida	A_leiocarpa_1	2.08
E_globulus_Ferguson2024	E_conglobata_conglobata_3	E_pallida	A_leiocarpa_1	0.96
E_globulus_Ferguson2024	E_conglobata_conglobata_5	E_pallida	A_leiocarpa_1	0.96
E_globulus_Ferguson2024	E_cordata_quadrangulosa_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_cordata_quadrangulosa_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_cornuta	E_pallida	A_leiocarpa_1	3.13
E_globulus_Ferguson2024	E_cosmophylla_1	E_pallida	A_leiocarpa_1	0.21
E_globulus_Ferguson2024	E_cosmophylla_2	E_pallida	A_leiocarpa_1	0.21
E_globulus_Ferguson2024	E_dawsonii	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_dawsonii_Ferguson2024	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_decipiens_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_decipiens_Ferguson2024	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_deflexa	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_drummondii_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_dwyeri	E_pallida	A_leiocarpa_1	2.78
E_globulus_Ferguson2024	E_erythronema_inornata	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_exigua	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_fasciculosa	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_flocktoniae_flocktoniae_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_flocktoniae_flocktoniae_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_flocktoniae_flocktoniae_3	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_flocktoniae_hebes	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_froggattii	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_gardneri_gardneri	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_gardneri_ravensthorpensis	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_gillii_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_gillii_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_goniocalyx_viridissima	E_pallida	A_leiocarpa_1	100
E_globulus_Ferguson2024	E_gracilis	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_insularis_continentalis	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_lansdowneana	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_lansdowneana_Ferguson2024	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_largiflorens_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_largiflorens_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_leucoxylon_megalocarpa_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_leucoxylon_megalocarpa_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_leucoxylon_megalocarpa_3	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_melliodora_Ferguson2024	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_minniritchi	E_pallida	A_leiocarpa_1	13.11
E_globulus_Ferguson2024	E_morrisbyi_1	E_pallida	A_leiocarpa_1	28.57
E_globulus_Ferguson2024	E_morrisbyi_2	E_pallida	A_leiocarpa_1	28.57
E_globulus_Ferguson2024	E_odorata	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_oraria_1	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_oraria_2	E_pallida	A_leiocarpa_1	0
E_globulus_Ferguson2024	E_ovata_grandiflora	E_pallida	A_leiocarpa_1	50
E_globulus_Ferguson2024	E_ovata_ovata_1	E_pallida	A_leiocarpa_1	50
E_globulus_Ferguson2024	E_ovata_ovata_2	E_pallida	A_leiocarpa_1	50
