target_sp                       outgroup
C_calophylla_1                  A_leiocarpa_1
C_calophylla_2                  A_leiocarpa_1
C_calophylla_3                  A_leiocarpa_1
E_aggregata                     E_preissiana_lobata_2
E_albopurpurea_2                E_preissiana_lobata_2
E_albopurpurea_3                E_preissiana_lobata_2
E_albopurpurea_4                E_preissiana_lobata_2
E_angulosa_1                    E_preissiana_lobata_2
E_angulosa_2                    E_preissiana_lobata_2
E_angulosa_3                    E_preissiana_lobata_2
E_astringens_redacta_1          E_preissiana_lobata_2
E_astringens_redacta_2          E_preissiana_lobata_2
E_astringens_redacta_3          E_preissiana_lobata_2
E_baueriana                     E_preissiana_lobata_2
E_botryoides                    E_preissiana_lobata_2
E_caesia_Boyagin_Rock_1         E_preissiana_lobata_2
E_caesia_Boyagin_Rock_2         E_preissiana_lobata_2
E_caesia_Southern_rocks         E_preissiana_lobata_2
E_caesia_caesia_1               E_preissiana_lobata_2
E_caesia_caesia_2               E_preissiana_lobata_2
E_caesia_magna_1                E_preissiana_lobata_2
E_caesia_magna_2                E_preissiana_lobata_2
E_caesia_magna_3                E_preissiana_lobata_2
E_caesia_magna_4                E_preissiana_lobata_2
E_caesia_magna_5                E_preissiana_lobata_2
E_calycogona_calycogona_1       E_preissiana_lobata_2
E_calycogona_calycogona_2       E_preissiana_lobata_2
E_calycogona_trachybasis        E_preissiana_lobata_2
E_camaldulensis_arida_2         E_preissiana_lobata_2
E_camaldulensis_arida_3         E_preissiana_lobata_2
E_camaldulensis_arida_4         E_preissiana_lobata_2
E_camaldulensis_arida_5         E_preissiana_lobata_2
E_camaldulensis_camaldulensis   E_preissiana_lobata_2
E_camaldulensis_refulgens_1     E_preissiana_lobata_2
E_camaldulensis_refulgens_2     E_preissiana_lobata_2
E_camaldulensis_simulata        E_preissiana_lobata_2
E_conglobata_conglobata_1       E_preissiana_lobata_2
E_conglobata_conglobata_2       E_preissiana_lobata_2
E_conglobata_conglobata_3       E_preissiana_lobata_2
E_conglobata_conglobata_4       E_preissiana_lobata_2
E_conglobata_conglobata_5       E_preissiana_lobata_2
E_cordata_quadrangulosa_1       E_preissiana_lobata_2
E_cordata_quadrangulosa_2       E_preissiana_lobata_2
E_cornuta                       E_preissiana_lobata_2
E_cosmophylla_1                 E_preissiana_lobata_2
E_cosmophylla_2                 E_preissiana_lobata_2
E_dawsonii                      E_preissiana_lobata_2
E_decipiens_1                   E_preissiana_lobata_2
E_decipiens_2                   E_preissiana_lobata_2
E_decipiens_3                   E_preissiana_lobata_2
E_deflexa                       E_preissiana_lobata_2
E_drummondii_1                  E_preissiana_lobata_2
E_drummondii_2                  E_preissiana_lobata_2
E_dwyeri                        E_preissiana_lobata_2
E_erythronema_inornata          E_preissiana_lobata_2
E_exigua                        E_preissiana_lobata_2
E_falcata                       E_preissiana_lobata_2
E_fasciculosa                   E_preissiana_lobata_2
E_flocktoniae_flocktoniae_1     E_preissiana_lobata_2
E_flocktoniae_flocktoniae_2     E_preissiana_lobata_2
E_flocktoniae_flocktoniae_3     E_preissiana_lobata_2
E_flocktoniae_hebes             E_preissiana_lobata_2
E_froggattii                    E_preissiana_lobata_2
E_gardneri_gardneri             E_preissiana_lobata_2
E_gardneri_ravensthorpensis     E_preissiana_lobata_2
E_gillii_1                      E_preissiana_lobata_2
E_gillii_2                      E_preissiana_lobata_2
E_goniocalyx_viridissima        E_preissiana_lobata_2
E_gracilis                      E_preissiana_lobata_2
E_insularis_continentalis       E_pallida
E_lansdowneana                  E_preissiana_lobata_2
E_largiflorens_1                E_preissiana_lobata_2
E_largiflorens_2                E_preissiana_lobata_2
E_leucoxylon_megalocarpa_1      E_preissiana_lobata_2
E_leucoxylon_megalocarpa_2      E_preissiana_lobata_2
E_leucoxylon_megalocarpa_3      E_preissiana_lobata_2
E_megacornuta                   E_preissiana_lobata_2
E_minniritchi                   E_preissiana_lobata_2
E_morrisbyi_1                   E_preissiana_lobata_2
E_morrisbyi_2                   E_preissiana_lobata_2
E_occidentalis                  E_preissiana_lobata_2
E_odorata                       E_preissiana_lobata_2
E_oraria_1                      E_preissiana_lobata_2
E_oraria_2                      E_preissiana_lobata_2
E_ovata_grandiflora             E_preissiana_lobata_2
E_ovata_ovata_1                 E_preissiana_lobata_2
E_ovata_ovata_2                 E_preissiana_lobata_2
E_ovata_ovata_3                 E_preissiana_lobata_2
E_ovata_ovata_4                 E_preissiana_lobata_2
E_phaenophylla_2                E_preissiana_lobata_2
E_phaenophylla_3                E_preissiana_lobata_2
E_phaenophylla_4                E_preissiana_lobata_2
E_porosa                        E_preissiana_lobata_2
E_pulverulenta                  E_preissiana_lobata_2
E_pyriformis                    E_preissiana_lobata_2
E_quadrans                      E_preissiana_lobata_2
E_rudis_cratyantha_1            E_preissiana_lobata_2
E_rudis_cratyantha_2            E_preissiana_lobata_2
E_rudis_cratyantha_3            E_preissiana_lobata_2
E_scoparia                      E_preissiana_lobata_2
E_scyphocalyx_2                 E_preissiana_lobata_2
E_socialis_socialis_1           E_preissiana_lobata_2
E_socialis_socialis_2           E_preissiana_lobata_2
E_socialis_socialis_3           E_preissiana_lobata_2
E_socialis_victoriensis_1       E_preissiana_lobata_2
E_socialis_victoriensis_2       E_preissiana_lobata_2
