id	gcf	scf	bs	edge_len	gn	sn
842	18.83	55.1	1	0.005178945	1115	6379.75
843	0.62	35.79		0.004756114	1129	6039.21
844	9.52	46.66	1	0.003007701	1103	6079.64
845	0.09	36	0.475	0.003558662	1141	6107.98
846	9.2	48.65	1	0.005628672	1109	6315.45
847	0	32.64	1	0.003582193	1146	6254.03
848	0	36.67	1	0.005408194	1157	5951.56
849	0	34.38	1	0.005897409	1162	5940.37
850	0	36.58	1	0.006026121	1158	6072.38
851	0.26	35.01	1	0.005580017	1138	6047.83
852	6.68	41.71	1	0.005078764	1108	5897.61
853	7.6	41.87	1	0.003788345	1119	6170.94
854	0.09	35.26	0.93	0.003957367	1148	6070.89
855	2.58	35.2	1	0.005253997	1123	6134.6
856	2.04	33.83	1	0.004408006	1125	6106.27
857	0	34.7	0.95	0.004485873	1165	5814.14
858	0	32.53	0.874	0.006020596	1158	5934.34
859	6.3	42.28	1	0.005661159	1127	6044.08
860	0	33.86	1	0.004368983	1157	5736.12
861	0	33.31	0.851	0.005248983	1143	5280.09
862	0.46	35.08	0.945	0.00473329	1081	5581.22
863	6.41	40.36	1	0.005312987	1045	5686.94
864	0	36.07	1	0.004333823	1148	5054.48
865	28.05	61.86	1	0.005404135	802	4565.13
866	1.87	33.07	0.3	0.002772486	1124	5282.49
867	0.17	43.64	1	0.004921266	1164	6285.28
868	0	34.23	0.987	0.006483772	1163	6349.04
869	0	33.48	1	0.006683849	1171	5032.89
870	0	37.52	1	0.006591696	1151	5254.06
871	12.02	48.8	1	0.00636415	1115	6345.19
872	0	33.83	0.988	0.004533573	1151	6210.13
873	0.09	39.79	1	0.006741863	1143	6558.44
874	0.09	40.69	1	0.007364266	1143	6787.31
875	0.51	41.26	1	0.008844519	1180	6543.52
876	0.52	45.74	1	0.007702864	1155	6273.14
877	40.14	67.46	1	0.006281614	1131	7089.19
878	1.65	39.88	1	0.003203006	1151	6279.95
879	11.68	55.13	1	0.005709859	1147	6165.06
880	7.23	36.67	1	0.003776214	1148	4655.96
881	11.53	43.2	0.901	0.004283281	1136	4144.35
882	45.07	64	1	0.003414217	670	2710.82
883	11.35	36	1	0.001598543	1084	4557.56
884	20.52	48.46	1	0.003560447	1077	4948.63
885	8.43	40.47	1	0.002725749	1115	6406.58
