Species,number of genes aligned
1,5.942857142857143
2,1.0285714285714285
3,10.0
4,1.0
5,7.371428571428571
6,8.228571428571428
7,1.1428571428571428
8,1.0857142857142856
9,9.4
10,9.84375
11,10.0
12,8.257142857142858
13,1.1176470588235294
14,5.514285714285714
15,1.1142857142857143
16,9.0
17,1.0
18,2.1875
19,1.03125
20,1.1470588235294117
21,1.088235294117647
22,10.0
23,2.34375
24,1.0
25,9.82857142857143
26,1.1851851851851851
27,1.0285714285714285
28,9.885714285714286
29,1.0
30,1.9142857142857144
31,2.5714285714285716
32,6.742857142857143
33,8.085714285714285
34,3.5588235294117645
35,6.942857142857143
36,2.7142857142857144
37,1.9411764705882353
38,6.228571428571429
39,3.1142857142857143
40,8.342857142857143
41,8.457142857142857
42,5.34375
43,3.323529411764706
44,1.0
45,1.9714285714285715
46,4.6571428571428575
47,7.15625
48,1.0285714285714285
49,3.4571428571428573
50,1.0
51,3.857142857142857
52,1.0
53,2.4857142857142858
54,6.8
55,2.0
56,3.6176470588235294
57,1.1290322580645162
58,1.0625
59,5.771428571428571
60,1.0571428571428572
61,1.0588235294117647
62,1.0
63,1.4705882352941178
64,2.0
65,9.90625
66,1.0
67,1.0571428571428572
68,1.0769230769230769
69,2.4
70,1.0769230769230769
71,6.257142857142857
72,9.2
73,1.0571428571428572
74,6.628571428571429
75,9.971428571428572
76,1.0625
77,3.2580645161290325
78,1.0285714285714285
79,4.382352941176471
80,1.0303030303030303
81,7.2
82,2.8
83,1.0
84,9.457142857142857
85,7.5
86,1.0285714285714285
87,4.4
88,3.914285714285714
89,1.65625
90,9.314285714285715
91,1.0285714285714285
92,9.8125
93,3.3448275862068964
94,1.2857142857142858
95,9.228571428571428
96,1.1111111111111112
97,5.46875
98,1.0
99,9.4
100,1.2285714285714286
101,1.8571428571428572
102,9.114285714285714
103,1.0
104,1.9393939393939394
105,1.0285714285714285
106,3.2
107,4.6
108,8.28125
109,1.0285714285714285
110,4.0
111,9.514285714285714
112,2.0303030303030303
113,4.4
114,1.0571428571428572
115,6.9714285714285715
116,9.82857142857143
117,1.0606060606060606
118,4.78125
119,1.1538461538461537
120,4.628571428571429
121,1.1714285714285715
122,10.0
123,5.085714285714285
124,1.3125
125,1.4137931034482758
126,1.0
127,1.0857142857142856
128,9.114285714285714
129,1.9714285714285715
130,7.4
131,1.1142857142857143
132,1.0285714285714285
133,10.0
134,1.1428571428571428
135,1.68
136,7.0
137,4.742857142857143
138,1.0
139,1.0303030303030303
140,6.714285714285714
141,9.114285714285714
142,1.1142857142857143
143,1.0
144,1.2
145,1.0285714285714285
146,1.0
147,1.25
148,8.885714285714286
149,9.6
150,9.914285714285715
151,5.285714285714286
152,9.714285714285714
153,1.0294117647058822
154,2.3793103448275863
155,2.9714285714285715
156,10.0
157,1.0857142857142856
158,2.5714285714285716
159,4.0
160,7.942857142857143
161,1.0285714285714285
162,7.21875
163,6.8
164,2.1714285714285713
165,1.0303030303030303
166,1.0571428571428572
167,1.0
168,9.314285714285715
169,10.0
170,1.0285714285714285
171,3.2857142857142856
172,2.1142857142857143
173,1.3529411764705883
174,6.085714285714285
175,1.0606060606060606
176,1.0909090909090908
177,1.0833333333333333
178,2.057142857142857
179,9.685714285714285
180,2.21875
181,1.1666666666666667
182,1.121212121212121
183,1.0571428571428572
184,8.971428571428572
185,5.542857142857143
186,1.0571428571428572
187,7.114285714285714
188,3.2580645161290325
189,1.1
190,9.46875
191,9.742857142857142
192,1.04
193,1.0
194,1.0571428571428572
195,2.259259259259259
196,2.735294117647059
197,1.5172413793103448
198,3.176470588235294
199,4.59375
200,4.794117647058823
201,10.0
202,9.84375
203,2.4411764705882355
204,1.0
205,3.5142857142857142
206,3.5517241379310347
207,1.4242424242424243
208,9.8
209,9.657142857142857
210,9.742857142857142
211,1.03125
212,1.0571428571428572
213,1.0
214,6.6571428571428575
215,1.0
216,1.1142857142857143
217,10.0
218,3.0
219,2.3703703703703702
220,6.0
221,2.9714285714285715
222,10.0
223,10.0
224,1.0857142857142856
225,9.314285714285715
226,2.2
227,4.542857142857143
228,1.2857142857142858
229,1.0285714285714285
230,1.121212121212121
231,1.03125
232,1.6
233,1.0357142857142858
234,9.96875
235,10.0
236,6.771428571428571
237,9.342857142857143
238,2.5428571428571427
239,1.0285714285714285
240,1.48
241,1.032258064516129
242,9.942857142857143
243,2.657142857142857
244,6.2
245,2.0
246,1.0285714285714285
247,9.8
248,1.619047619047619
249,4.545454545454546
250,3.857142857142857
251,1.0
