Species name,number of genes aligned
GCA_017140325.1,232
GCF_016545825.1,234
GCA_014182895.1,185
GCA_016097605.1,229
GCA_014182735.1,185
GCA_017140475.1,234
GCA_016097485.1,232
GCA_014182365.1,228
GCA_014182515.1,232
GCA_017140165.1,233
GCA_014182845.1,184
GCA_016097545.1,232
GCA_014182375.1,235
GCA_017140185.1,233
GCA_014182545.1,235
GCA_017140595.1,219
GCA_014182695.1,230
GCA_017140615.1,229
GCA_017140255.1,236
GCA_014182395.1,222
GCA_014182565.1,216
GCA_014182715.1,230
GCA_014182885.2,234
GCA_014182855.1,223
GCA_016097595.1,234
GCA_014182555.1,229
GCA_014182385.1,231
GCA_017140395.1,234
GCA_016097615.1,233
GCA_004368105.3,229
GCA_014182725.1,226
GCA_014182405.1,233
GCA_014182585.1,230
GCA_014182705.1,235
GCA_014182575.1,228
